Trait,Barani,C217,C271,C518,Chakwal_50,Chakwal_86,Dharabi_2011,DIRK,GA_leaf,Inquilab_91,Maxipak,NARC_2009,PAK_81,Pakistan_13,PARI,Parwaz_94,Pasban_90,Pothowar_70,Punjab_96,Rawal_87,Seher_2006,T9,Ujala_2016
LRA-Control,53.11,56.64,42.27,64.99,81.93,34.4,86.18,68.38,109.35,61.91,44.23,63.66,39.38,35.85,57.16,57.86,35.57,NA,65.3,44.76,78.64,84.83,63.45
AD-Control,0.95,0.92,1,0.97,0.98,0.92,1.01,1.15,0.86,0.85,0.91,0.93,1.01,0.88,0.9,0.87,0.95,NA,1.02,1.02,0.94,0.94,1.09
MD-Control,0.79,0.71,0.85,0.65,0.72,0.73,0.94,0.94,0.67,0.69,0.67,0.82,0.8,0.72,0.74,0.77,0.78,NA,0.83,0.86,0.75,0.73,1.02
MaxD-Control,4.8,4.89,5.54,6.21,5.46,5.1,4.42,7,6.61,5.65,6.18,5,6.14,3.54,5.29,3.98,3.64,NA,6.18,5.03,5.84,7.01,5.46
P-Control,959.08,841.69,907.91,844.04,856.55,780.75,859.1,736.88,1203.76,1209.79,804.37,915.26,715.59,881.96,1120.96,855.09,1047.08,NA,861.8,685.01,1138.71,826.42,1120.99
V-Control,495.04,532.23,532.18,700.3,550.72,397.31,456.5,720.44,664.79,517.33,532.07,468.53,483.05,374.99,554.4,336.97,514.72,NA,573.87,422.31,613.77,685.04,794.61
SA-Control,1475.03,1262.39,1567.19,1380.66,1356.22,1187.37,1384.14,1437.18,1727.03,1701.64,1206.44,1424.85,1237.19,1317.91,1692.27,1220.37,1669.04,NA,1463.63,1198.01,1813.57,1388.12,2141.69
ARO-Control,16.16,21.19,16.21,16.5,13.9,21.41,15.17,16.63,18.39,21.63,19.82,15.14,19.05,16.3,16.9,17.46,16.38,NA,18.06,22.36,22,23.14,16.79
SAF-Control,0.91,0.85,0.89,0.88,0.93,0.8,0.9,0.89,0.83,0.78,0.82,0.91,0.86,0.88,0.87,0.86,0.88,NA,0.85,0.8,0.8,0.78,0.86
MAF-Control,0.05,0.07,0.06,0.08,0.05,0.1,0.06,0.06,0.1,0.15,0.09,0.06,0.08,0.08,0.08,0.1,0.08,NA,0.08,0.11,0.12,0.14,0.08
StAF-Control,0.04,0.08,0.04,0.03,0.03,0.1,0.04,0.05,0.06,0.07,0.09,0.03,0.07,0.03,0.05,0.04,0.04,NA,0.07,0.09,0.08,0.09,0.05
RLD-Control,490.24,429.25,475.41,427.19,423.39,396.04,437.43,368.7,617.39,624.46,412.97,469.56,373.02,455.87,579.07,443.94,541.07,NA,441.65,353.73,598.88,426.47,603.42
PAD-Control,403.79,331.94,437,334.42,345.76,324.3,392.15,347.34,453.36,482.63,311.91,402.77,329.58,379.14,479.23,359.29,466.86,NA,391.54,322.57,502.07,343.02,606.94
SAD-Control,1268.53,1042.81,1372.89,1050.61,1086.22,1018.82,1231.96,1091.19,1424.28,1516.22,979.89,1265.38,1035.4,1191.1,1505.55,1128.74,1466.67,NA,1230.07,1013.37,1577.29,1077.63,1906.75
VD-Control,319.39,233.41,360.36,252.42,260.28,236.36,322.77,317.91,302.34,344.43,217.31,314.22,272.04,290.81,361.1,257.46,385.58,NA,322.36,268.16,388.47,249.21,563.05
MNR-Drought,2,3,1.67,2.33,1.33,2.67,3,2.33,2.33,2.67,2.67,2.33,1.67,2.67,2.33,2.67,2.67,NA,1.67,2.67,2.67,2.33,2.33
MaxNR-Drought,8,6.67,6.33,6.67,4.33,6.67,5.67,4.33,7,7.67,5.67,5.33,5.67,6,5.67,6,7.33,NA,5,5.33,6.33,7,7.33
NRT-Drought,10.67,12,7.67,7.33,6.67,8,8.33,8,9,8.33,8.33,6.67,9.67,8.67,6,10.33,12.67,NA,7.67,9.67,9.67,11,15.67
TRL-Drought,482.32,404.14,368.88,352.3,339.21,474.82,600.72,356.38,560.97,650.63,471.72,434.83,358.99,563.7,347.72,611.28,592.79,NA,509.64,450.16,554.89,561.31,726.11
D-Drought,42.25,45.31,31.69,30.92,42.67,42.04,50.8,41.83,49.8,62.63,50.1,40.58,40.92,57.55,32.27,50.46,45.22,NA,51.87,48.79,50.25,50.98,48.23
MaxW-Drought,137.47,138.15,169.5,134.66,181.66,164.82,182.49,155.1,198.23,178.88,170.17,190.19,148.25,194.71,162.12,198.72,183.75,NA,198.33,144.12,171.16,193.23,202.85
WDR-Drought,3.28,3.14,5.6,4.61,4.43,3.93,3.6,3.82,4.32,2.91,3.48,4.78,3.69,3.39,7.15,4.03,4.23,NA,3.83,3.22,3.45,3.92,4.22
NtA-Drought,353.5,284.29,293.01,198.83,267.22,318.2,428.08,288.53,414.84,445.6,299.77,307.08,339.78,435.67,235.11,398.84,451.1,NA,393.81,368.91,344.29,362.6,546.26
CA-Drought,2876.54,2769.6,2853.46,1348.34,2419.59,2988.47,2966.67,1674.29,4337.5,5253.8,4006.94,2230.21,2224.53,5428.27,1797.05,3709.91,3292.62,NA,4069.29,2641.41,3370.43,3566.92,4688.88
S-Drought,0.13,0.1,0.11,0.15,0.12,0.11,0.15,0.18,0.12,0.09,0.08,0.15,0.15,0.08,0.14,0.11,0.14,NA,0.11,0.14,0.11,0.11,0.12
LRA-Drought,71.87,24.7,205.98,16.11,45.91,40.66,27.87,21.35,79.13,80.7,78.86,24.56,35.92,77.78,82.36,26.17,20.13,NA,93.17,56.5,81.21,56.95,101.59
AD-Drought,0.97,0.85,0.96,0.68,0.93,0.81,0.83,0.98,0.86,0.82,0.76,0.8,1.15,0.89,0.82,0.76,0.93,NA,0.92,1.04,0.72,0.77,0.87
MD-Drought,0.62,0.67,0.72,0.55,0.7,0.62,0.61,0.78,0.7,0.64,0.58,0.62,0.75,0.71,0.67,0.6,0.7,NA,0.63,0.67,0.58,0.61,0.66
MaxD-Drought,9.41,4.72,5.62,3.98,4.55,6.05,6.51,5,4.78,6.43,5.36,3.78,6.99,4.94,4.62,5.79,7.96,NA,6.35,6.95,4.19,5.29,4.75
